응답자ID,업종,규모,SQ3_2,문1_1,문1_2,문1_3,문1_4,문1_5,문1_6,문1_7,문1_8,문1_9,문1_10,문2_1,문2_2,문2_3,문2_4,문2_5,문2_6,문2_7,문2_8,문3_1_1,문3_1_2,문3_1_3,문3_2_1,문3_2_2,문3_2_3,문3_3_1,문3_3_2,문3_3_3,문3_4_1,문3_4_2,문3_4_3,문3_5_1,문3_5_2,문3_5_3,문4_1_1,문4_1_2,문4_1_3,문4_1_4,문4_2_1,문4_2_2,문4_2_3,문4_2_4,문5_1,문5_2,문6_1,문6_2,문7_1,문7_2,문7_3,문8_1,문8_2,문8_3,문8_4,문9_1,문9_2,문9_3,문9_4,문9_5,문9_6,문10_1,문10_2,문10_3,문10_4,문11_1,문11_2,문11_3,문11_4,문11_4_1,문11_5,문11_6,문12_1_1,문12_2_1,문12_2_2,문12_2_3,문12_2_4,문13_1,문13_2,문13_3,문13_4,문13_1_1,문13_1_2,문13_1_3,문13_1_4,문14_1,문14_2,문14_3,문14_4,문14_5,문14_6,문14_7,문14_8,문14_9,문14_9_TXT,문14_9999,문15_1,문15_2,문15_3,문15_4,문15_5,문15_6,문15_7,문15_8,문15_9,문15_9_TXT,문16_1,문16_2,문16_3,문17_1_1,문17_1_2,문17_1_3,문17_1_4,문17_2_1,문17_2_2,문17_2_3,문17_2_4,문17_3_1,문17_3_2,문17_3_3,문17_3_4,문17_4_1,문17_4_2,문17_4_3,문17_4_4,문17_5_1,문17_5_2,문17_5_3,문17_5_4,문17_6_1,문17_6_2,문17_6_3,문17_6_4,문17_7_1,문17_7_2,문17_7_3,문17_7_4,문17_8_1,문17_8_2,문17_8_3,문17_8_4,문17_9_1,문17_9_2,문17_9_3,문17_9_4,문17_9_TXT,문18,문18_9_TXT,문19_1,문19_2,문19_3,문19_4,문19_5,문19_6,문19_7,문19_8,문19_9,문19_9_TXT,문20_1,문20_2,문20_3,문21_1,문21_2,문21_3,문21_4,문21_5,문21_6,문21_7,문21_8,문21_9,문21_10,문21_11,문21_12,문21_13,문21_14,문21_15,문21_16,문22_1,문22_2,문22_3,문22_4,문22_5,문22_6,문22_7,문22_8,문22_8_TXT,문23_1,문23_2,문23_3,문23_4,문23_5,문23_6,문23_7,문23_8,문23_9,문23_10,문23_11,문23_12,문23_12_TXT,문24_1,문24_2,문24_3,문24_4,문24_5,문24_6,문24_7,문24_8,문24_9,문24_10,문25_1_1_1,문25_1_1_2,문25_1_2_1,문25_1_2_2,문25_1_3_1,문25_1_3_2,문25_1_4_1,문25_1_4_2,문25_2_1_1,문25_2_1_2,문25_2_2_1,문25_2_2_2,문25_2_3_1,문25_2_3_2,문25_2_4_1,문25_2_4_2,문26,문27_1,문27_2,문27_3,문27_4,문27_5,문27_6,문27_7,문27_7_TXT,문28_1,문28_2,문28_3,문28_4,문28_5,문28_6,문29_1,문29_2,문29_3,문29_4,문30_1,문30_2,문30_3,문30_4,문30_5,문30_6,문30_7,문30_8,문30_9,문30_10,문30_11,문30_12,문30_12_TXT,문30_13,문31_1,문31_2,문31_3,문31_4,문32_1,문32_2,문32_3,문32_4,문33_1,문33_2,문33_3,문34_1,문34_2,문34_3,문34_4,문34_4_TXT,문35_1,문35_2,문35_3,문35_4,문35_4_TXT,문35_5,문35_5_TXT,문36_1,문36_2,문36_3_1,문36_3_2,문36_3_3,문36_3_4,문36_3_5,문36_3_6,문36_3_7,문36_4,문36_5,문37_1_1,문37_1_2,문37_2_1,문37_2_2,문37_3_1,문37_3_2,문38_1_1,문38_1_2,문38_1_3,문38_2_1,문38_2_2,문38_2_3,문39,문40_1,문40_1_TXT,문40_2,문40_3,문40_4,문40_5,문40_6,문40_6_TXT,문41,문41_7_TXT,문42,문43,WT1,
437,14,3,서울특별시,4,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,2,,,2,0,,,0,,,,1,2,3,0,,,,1,0,1,0,70,0,30,1,,,,1,0,0,0,0,0,1,,,,1,1,0,1,1,0,0,700,80.00,0.00,0.00,20.00,66,75,100,105,,,,,,,,,,,,8,,,,4,0,0,0,0,0,0,0,,,0,1,0,,1,,,,1,,,0,,,,0,,,,,1,,,0,,,,0,,,,0,,,,,,,,,5,,3,0,3,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,,,0,4,0,4,0,0,0,4,0,0,0,,,2,7,1,6,5,3,2,5,6,3,20,4,30,1,23,3,27,2,45,1,20,3,25,2,10,4,2,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,0,0,1,0,2,0,0,2,1,1,0,0,3,0,,,,2,1,,,,,1,3,1,2,3,4,5,,,4,2,136860,41058,152057,45617,155816,46745,130,138,138,60,10,20,2,,,1,2,,,,,1,,,20,2.6400,
438,14,3,경기도,4,2,4,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,,,2,,,1,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,1,0,1,1,0,0,1000,20.00,0.00,0.00,80.00,70,80,110,120,,,,,1,,,,,,,,,,,2,0,0,0,0,0,0,0,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,2,6,2,6,2,6,6,2,6,2,20,4,30,1,30,2,20,3,50,1,20,3,20,2,10,4,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,0,1,0,3,0,0,3,3,3,1,0,0,0,,,2,1,,,,,,1,3,,2,,,,,,4,2,129950,,129950,,129950,,100,100,100,60,0,20,2,1,경기,2,,,,,,1,,,15,2.6400,
439,14,3,충청북도,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,,,,3,0,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,4,4,4,4,4,4,4,4,4,4,25,4,25,3,25,2,25,1,25,1,25,3,25,2,25,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,,,,,,2,4,,,,,,,7,4,1,10000,,14000,,16600,,150,250,379,50,0.01,1,2,,,1,,,,,,1,,,120,1.8333,
440,14,3,서울특별시,0,0,0,4,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,2,,1,,,,2,0,,,,1,2,3,0,,,,1,0,1,0,60,0,40,1,,,,1,0,0,0,0,0,1,,,,1,1,0,1,1,0,0,1200,100.00,0.00,0.00,0.00,65,75,100,105,,,,,1,,,,,,,8,,,,4,4,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,0,0,0,0,0,,,1,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,0,,,0,0,0,4,0,0,0,4,0,0,0,,,1,7,4,6,4,3,6,2,4,4,20,4,30,1,23,3,27,2,45,1,20,3,25,2,10,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,1,0,2,0,0,0,1,1,0,0,3,0,,,,2,1,,,,,1,2,1,2,3,4,5,,,4,2,52962,,53029,,52957,,135,137,137,70,10,20,2,,,1,,,,,,1,,,20,2.6400,
441,14,3,서울특별시,4,0,0,4,0,0,4,0,0,0,1,1,1,1,0,0,0,0,0,,,,,2,,1,,,,2,0,,,,1,2,3,0,,,,1,0,1,0,90,0,10,1,,,,1,0,0,0,0,0,1,,,,1,1,0,1,1,0,0,1200,100.00,0.00,0.00,0.00,65,68,100,100,,,,,1,,,4,,,,,,,,0,4,0,0,4,0,0,0,,,0,1,0,,1,,,,1,,,0,,,,0,,,,,1,,,0,,,,0,,,,0,,,,,,,,,2,,0,0,3,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,4,0,0,0,0,,,0,0,0,0,0,0,0,4,0,0,3,,,1,7,3,7,3,2,7,2,4,4,20,4,30,1,22,3,28,2,45,1,20,3,25,2,10,4,2,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,0,0,1,0,2,0,0,0,1,1,0,0,3,0,,,,1,2,,,,,1,3,,2,,,,,,4,2,170219,153197,188096,169286,193278,173950,100,110,110,25,15,20,2,,,2,1,,,,,2,,,20,2.6400,
442,14,3,부산광역시,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,,,,,2,,1,,,,2,0,,,0,,,,0,,,,1,0,1,0,70,0,30,1,,,,1,0,0,0,0,0,1,,,,1,1,0,1,1,0,0,1200,100.00,0.00,0.00,0.00,65,76,100,105,,,,,1,,,,,,,8,,,,4,4,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,1,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,0,,,0,4,0,4,0,0,0,0,0,0,0,,,1,5,2,6,4,4,2,4,4,7,20,4,30,1,23,3,27,2,45,1,20,3,25,2,10,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,1,0,2,0,0,0,1,1,0,0,3,0,,,,2,1,,,,,1,2,1,2,3,4,5,,,4,2,40988,,37958,,38239,,120,124,124,70,10,20,2,,,1,,,,,,1,,,20,2.6400,
443,14,3,서울특별시,0,4,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,,,,,2,,1,,,,2,0,,,0,,,,0,,,,1,0,1,0,70,0,30,1,,,,1,0,0,0,0,0,1,,,,1,1,0,1,1,0,0,900,100.00,0.00,0.00,0.00,65,75,100,110,,,,,,,,,,,,8,,,,4,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,1,1,1,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,0,,,0,0,0,4,4,0,0,0,0,0,0,,,1,7,4,7,2,7,3,4,4,6,20,4,30,1,22,3,28,2,45,1,20,3,25,2,10,4,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,0,1,0,2,0,0,0,1,1,0,0,3,0,,,,2,1,,,,,1,2,1,2,3,4,5,,,4,2,30576,,30156,,32494,,170,174,174,80,10,10,2,,,1,,,,,,1,,,20,2.6400,
444,14,3,서울특별시,0,0,0,0,0,0,4,0,0,4,0,0,1,1,0,0,0,0,0,,,,,2,,1,,0,,,0,,,0,,,,0,,,,1,0,1,0,90,0,10,1,,,,1,0,0,0,0,0,1,,,,1,1,0,1,1,0,0,1100,100.00,0.00,0.00,0.00,66,75,105,105,,,,,,,3,,,,,8,,,,0,4,0,0,0,0,0,0,,,0,1,0,0,,,,,1,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,2,,3,0,3,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,0,0,0,0,,,0,4,0,0,0,0,0,4,0,0,0,,,1,6,2,7,5,2,1,4,3,6,20,4,30,1,23,3,27,2,42,1,23,3,25,2,10,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,1,0,3,0,0,0,1,1,0,0,3,0,,,,1,2,,,,,1,2,,2,,,,,,2,2,89580,44790,87090,43545,83970,41985,96,97,97,15,20,25,2,,,1,2,,,,,1,,,20,7.0714,
445,14,3,서울특별시,0,4,0,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,1,,,1,,,,2,0,,,,1,2,3,0,,,,1,0,1,0,90,0,10,1,2,,4,1,0,0,0,0,0,1,2,,4,1,1,0,1,1,1,1,300,70.00,15.00,15.00,0.00,66,75,100,105,,,,,,2,3,,,,,,,,,0,4,0,0,0,0,0,0,,,1,1,0,0,,,,,1,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,2,,0,0,3,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,4,0,0,0,0,,,0,0,0,4,0,0,0,4,0,0,3,,,1,6,2,6,2,6,6,3,1,6,20,4,30,1,23,3,27,2,45,1,21,3,24,2,10,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,1,0,2,2,2,0,1,1,0,0,3,0,,,,1,2,,,,,1,2,1,2,3,4,5,,,4,2,46811,23406,41728,20864,45151,22575,150,150,151,20,15,20,2,,,1,2,,,,,1,,,20,2.6400,
446,14,3,충청남도,4,2,4,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,,,2,,,1,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,2,6,2,6,2,6,6,2,6,2,10,4,40,1,30,2,20,3,60,1,15,3,20,2,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,,,,,,1,2,,,,,,,7,4,2,14500,725,14500,725,14500,725,85,85,85,79,0,0,2,1,"서울, 경기",,,,,2,호주,1,,,15,7.0714,
447,14,3,대전광역시,0,4,0,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,1,,,,2,,,2,0,,,0,,,,0,,,,1,0,1,0,50,0,50,1,,,,1,0,0,0,0,0,1,,,,1,1,0,1,1,0,0,400,100.00,0.00,0.00,0.00,66,75,100,105,,,,,,,,,,,,8,,,,0,4,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,0,0,0,0,0,,,1,1,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,,,0,4,4,0,0,0,0,0,0,0,0,,,1,7,3,6,3,6,2,6,4,4,20,4,30,1,23,3,27,2,45,1,20,3,25,2,10,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,1,0,2,0,0,0,1,1,0,0,3,0,,,,2,1,,,,,1,2,1,2,3,4,5,,,4,2,14831,,23121,,21231,,70,69,69,60,5,10,2,,,1,,,,,,1,,,20,7.0714,
448,14,3,부산광역시,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,,1,,,0,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,1,7,3,7,1,5,3,5,3,6,20,4,30,1,22,3,28,2,45,1,29,2,26,3,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,2,1,,,,,1,1,1,,,,,,,4,2,4031,,3759,,4100,,53,54,54,90,0,0,2,,,1,,,,,,1,,,20,7.0714,
449,14,3,부산광역시,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,,,2,,0,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,6,2,2,5,2,6,6,2,6,2,25,2,50,1,10,4,15,3,50,1,30,2,20,3,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,,,,,,1,1,,,,,,,7,4,2,7600,,6100,,10500,,94,94,94,84,0,0,2,,,1,,,,,,1,,,15,7.0714,
450,14,3,서울특별시,0,4,0,0,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,2,,1,,,,2,0,,,,1,,,0,,,,1,0,1,0,60,0,40,1,,,,1,0,0,0,0,0,1,,,,1,1,0,1,1,0,0,1700,100.00,0.00,0.00,0.00,66,75,100,105,,,,,1,,,,,,,8,,,,4,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,,,0,0,0,4,0,0,0,4,0,0,0,,,2,7,1,6,4,4,2,6,4,4,20,4,30,1,22,3,28,2,45,1,20,3,25,2,10,4,2,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,0,0,1,0,2,0,0,0,1,1,0,0,3,0,,,,2,1,,,,,1,2,1,2,3,4,5,,,4,2,50965,15289,55185,16556,47792,14338,180,181,181,50,10,20,2,,,1,2,,,,,1,,,20,2.6400,
451,14,3,경상북도,4,2,3,4,2,4,4,3,4,3,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,4,0,0,4,4,4,4,3,4,3,3,3,4,0,4,4,0,0,0,0,0,1,1,,,3,3,3,3,3,3,3,3,3,3,3,,,3,5,2,6,4,5,3,5,5,3,3,4,84,1,5,3,8,2,23,2,10,3,67,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,,,,,,1,2,,,,,,,7,4,1,37243,,35742,,33353,,145,140,140,70,0,0,2,,,1,,,,,,1,,,35,2.6400,
452,14,3,서울특별시,5,5,4,5,5,5,5,5,5,5,0,0,0,0,0,1,0,1,0,,,0,,,0,,,0,,,0,,,,1,2,3,0,,,,0,0,,,,,,,,,,0,1,1,1,0,0,1,,,4,1,1,0,1,1,0,0,1700,82.00,0.00,0.00,18.00,90,90,100,100,,,,,1,2,3,4,5,6,7,8,,,,5,5,5,5,5,5,5,5,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,0,2,0,0,0,,,1,1,1,4,3,4,4,3,3,3,4,4,3,3,4,4,3,3,3,5,3,3,3,3,4,5,,,0,0,0,0,0,0,0,0,0,0,0,,,5,4,4,5,5,4,4,4,5,5,7,4,53,1,18,3,22,2,35,2,21,3,39,1,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,1,0,2,0,0,1,3,3,2,3,3,3,,,2,,1,,,,,2,3,,2,,,,,,4,2,84031,12600,132181,19800,109382,16407,150,180,161,80,3,12,2,,,1,2,,,,,1,,,60,2.6400,
453,14,3,충청남도,4,3,3,4,2,4,4,4,4,4,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,3,2,2,3,4,3,3,3,4,4,4,3,2,3,2,2,0,0,0,0,0,0,0,,,0,0,0,0,0,3,3,3,3,3,0,,,2,6,2,6,3,5,3,5,4,4,2,4,90,1,5,2,3,3,25,3,30,2,45,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,2,,,,,,2,2,,,,,,,7,4,2,13000,,12500,,12500,,130,125,124,80,0,0,2,,,1,,,,,,1,,,35,2.6400,
454,14,3,서울특별시,4,3,3,4,3,4,4,4,4,4,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,1,3,0,0,3,4,4,3,2,2,2,2,3,4,0,4,4,3,0,0,0,0,3,0,,,3,3,3,3,3,3,3,3,3,3,3,,,3,5,3,5,5,3,5,4,4,4,5,4,75,1,8,3,12,2,30,2,8,3,62,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,,,,,,1,2,,,,4,,,,4,2,22100,,23800,,23000,,185,190,190,75,0,0,2,,,1,,,,,,1,,,40,2.6400,
455,14,3,서울특별시,4,3,4,4,3,4,4,4,3,3,0,0,0,1,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,3,0,0,3,4,4,4,4,4,3,3,3,3,0,3,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,4,4,3,5,4,4,3,5,5,3,3,4,82,1,5,3,10,2,20,2,8,3,72,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,,,,,,1,2,,,,,,,7,4,2,54900,,49461,,44789,,210,205,201,85,0,0,2,,,1,,,,,,1,,,50,2.6400,
456,14,3,서울특별시,5,4,4,5,4,5,5,5,5,5,0,0,0,0,0,1,0,1,0,,,0,,,0,,,0,,,0,,,,1,2,3,0,,,,0,0,,,,,,,,,,1,0,1,1,0,0,1,,,4,1,1,0,1,1,0,0,500,90.00,0.00,0.00,10.00,95,100,100,100,,,,,1,2,3,4,,6,7,,,,,5,5,3,3,3,3,3,3,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,0,0,,,1,1,1,5,5,5,5,3,3,3,4,5,4,3,5,5,3,3,3,5,5,5,5,5,5,5,,,0,0,0,0,0,0,0,0,0,0,0,,,4,5,4,5,5,4,4,5,5,5,6,4,52,1,19,3,23,2,37,2,20,3,40,1,3,4,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,0,1,0,2,0,0,1,3,2,2,3,3,3,,,2,,1,,,,,2,3,,2,,,,,,4,2,149662,134000,162790,146000,171372,154200,199,200,207,90,2,4,2,,,2,,,1,,,2,,,60,2.6400,
457,14,3,서울특별시,3,2,3,3,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,3,6,2,4,4,4,2,4,4,4,0,3,99,1,0,4,1,2,70,1,20,2,10,3,0,4,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,,,,,,1,1,,,,,,,7,4,2,3500,,3600,,3500,,80,80,80,70,0,0,2,,,1,,,,,,1,,,50,7.0714,
458,14,3,서울특별시,4,3,3,4,3,4,4,4,3,4,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,2,4,4,4,4,4,3,3,4,4,0,4,4,0,0,0,0,0,1,1,,,3,3,3,3,3,3,3,3,3,3,3,,,3,4,4,5,4,3,4,4,4,4,2,4,89,1,4,3,5,2,7,2,5,3,88,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,1,수출지원,,,2,2,,,,,,,7,4,2,116510,90000,135571,110000,139000,110000,145,160,160,85,0,0,2,,,2,,,1,,,1,,,50,2.6400,
459,14,3,서울특별시,4,2,3,4,2,4,4,4,4,4,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,1,1,0,0,1500,100.00,0.00,0.00,0.00,100,100,100,100,,,,,1,2,,,,,,8,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,0,0,0,0,,,1,0,0,2,0,0,2,2,2,2,2,3,2,2,3,3,3,3,3,3,1,1,0,0,0,0,,,3,3,3,3,3,3,3,3,3,3,3,,,2,3,3,4,5,3,5,4,4,4,2,4,89,1,4,3,5,2,9,2,5,3,85,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,2,1,,,,,,2,3,,2,,,,,,4,2,277400,,255000,,257400,,300,290,290,70,1,7,2,,,1,,,,,,1,,,40,2.6400,
